"Title","Progress","Type","MAL_Score","AniList_Score","Genres","Notes","MAL_URL","AniList_URL","Current_MAL_Score","Current_AniList_Score","Average_Score"
"PSYCHO-PASS","0/22","TV","8.34","8.2","Action, Police, Psychological, Sci-Fi, Seinen","","https://myanimelist.net/anime/13601/Psycho-Pass","FAILED_LOOKUP","8.33","","8.27"
"Parasyte -the maxim-","0/24","TV","8.33","8.1","Action, Drama, Horror, Psychological, Sci-Fi, Seinen","","https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu","FAILED_LOOKUP","8.32","","8.21"
"PSYCHO-PASS 2","0/11","TV","8.33","7.4","Action, Mystery, Police, Sci-Fi, Seinen","","https://myanimelist.net/anime/23281/Psycho-Pass_2","FAILED_LOOKUP","7.39","","7.39"
"Blood Lad","0/10","TV","8.33","7.4","Action, Comedy, Demons, Seinen, Supernatural, Vampire","","https://myanimelist.net/anime/11633/Blood_Lad","FAILED_LOOKUP","7.23","","7.32"
"given","0/11","TV","8.32","8.3","Drama, Music, Romance, Slice of Life, Boys Love","","https://myanimelist.net/anime/39533/Given","FAILED_LOOKUP","8.32","","8.31"
"Myriad Colors Phantom World","0/13","TV","8.32","6.9","Action, Comedy, Fantasy, Slice of Life, Supernatural","","https://myanimelist.net/anime/31442/Musaigen_no_Phantom_World","FAILED_LOOKUP","6.84","","6.87"
"More than a Married Couple, but Not Lovers.","0/12","TV","8.32","7.4","7.5, Romance, School, Comedy","","https://myanimelist.net/anime/50425/Fuufu_Ijou_Koibito_Miman","FAILED_LOOKUP","7.59","","7.5"
"86 EIGHTY-SIX","0/11","TV","8.32","8.5","Action, Drama, Mecha, Military, Sci-Fi","","https://myanimelist.net/anime/41457/86","FAILED_LOOKUP","8.34","","8.42"
"Kaguya-sama: Love is War -The First Kiss That Never Ends-","0/4","TV","8.31","8.8","Comedy, Romance, Sequel","","https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai","FAILED_LOOKUP","8.72","","8.76"
"And you thought there is never a girl online?","0/12","TV","8.26","6.7","Comedy, Ecchi, Game, Romance, School","","https://myanimelist.net/anime/31404/Netoge_no_Yome_wa_Onnanoko_ja_Nai_to_Omotta","FAILED_LOOKUP","6.66","","6.68"
"ORESUKI: Are you the only one who loves me?","0/12","TV","8.25","7.6","Comedy, Romance, School","","https://myanimelist.net/anime/38483/Ore_wo_Suki_nano_wa_Omae_dake_ka_yo","FAILED_LOOKUP","7.29","","7.45"
"Hajime no Ippo: The Fighting!","0/75","TV","8.23","8.6","Comedy, Sports, Drama, Shounen","","https://myanimelist.net/anime/263/Hajime_no_Ippo","FAILED_LOOKUP","8.78","","8.69"
"Katanagatari","0/12","TV","8.22","8.4","Action, Adventure, Martial Arts, Romance","","https://myanimelist.net/anime/6594/Katanagatari","FAILED_LOOKUP","8.29","","8.34"
"No Game, No Life Zero","0/1","Movie","8.21","8.30","Drama, Fantasy, Game, Supernatural","","https://myanimelist.net/anime/33674/No_Game_No_Life_Movie__Zero","FAILED_LOOKUP","8.16","","8.23"
"Recovery of an MMO Junkie","0/10","TV","8.2","7.6","Comedy, Game, Romance, Seinen","[Enriched via search]","https://myanimelist.net/anime/36038","NEEDS_LOOKUP","7.51","",""
"Re:CREATORS","0/22","TV","8.2","7.6","Action, Fantasy, Sci-Fi","","https://myanimelist.net/anime/34561/Re_Creators","FAILED_LOOKUP","7.55","","7.57"
"Bloom Into You","0/13","TV","8.2","8","Drama, Girls Love, Romance, School","","https://myanimelist.net/anime/37786/Yagate_Kimi_ni_Naru","FAILED_LOOKUP","7.88","","7.94"
"Dr. STONE: STONE WARS","0/11","TV","8.19","8.1","Action, Adventure, Comedy, Sci-Fi","","https://myanimelist.net/anime/40852/Dr_Stone__Stone_Wars","FAILED_LOOKUP","8.15","","8.12"
"The World God Only Knows","0/12","TV","8.18","8","Comedy, Harem, Romance, Shounen, Supernatural","","https://myanimelist.net/anime/8525/Kami_nomi_zo_Shiru_Sekai","FAILED_LOOKUP","7.64","","7.82"
"Rokka -Braves of the Six Flowers-","0/12","TV","8.17","7.4","Action, Adventure, Fantasy, Mystery, Magic","","https://myanimelist.net/anime/28497/Rokka_no_Yuusha","FAILED_LOOKUP","7.25","","7.33"
"Blue Box","0/25","ONA","8.17","TBD","Sports, Romance, Shounen","[2024+] Ongoing 2024-2025","https://myanimelist.net/anime/57181/Ao_no_Hako","FAILED_LOOKUP","8.17","","8.17"
"Plunderer","0/24","TV","8.16","6.5","Action, Ecchi, Fantasy, Shounen","","https://myanimelist.net/anime/37345/Plunderer","FAILED_LOOKUP","6.65","","6.58"
"Noragami Aragoto","0/13","TV","8.16","8.2","Action, Adventure, Supernatural, Shounen","","https://myanimelist.net/anime/30503/Noragami_Aragoto","FAILED_LOOKUP","8.14","","8.17"
"March comes in like a lion Season 2","0/22","TV","8.16","8.9","Drama, Game, Seinen, Slice of Life, Sports","","https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season","FAILED_LOOKUP","8.9","","8.9"
"Death Parade","0/12","TV","8.16","8.2","Drama, Game, Mystery, Psychological, Thriller","","https://myanimelist.net/anime/28223/Death_Parade","FAILED_LOOKUP","8.14","","8.17"
"Death March to the Parallel World Rhapsody","0/12","TV","8.15","6.5","Action, Adventure, Fantasy, Harem, Isekai","","https://myanimelist.net/anime/34497/Death_March_kara_Hajimaru_Isekai_Kyousoukyoku","FAILED_LOOKUP","6.43","","6.46"
"Infinite Stratos","0/12","TV","8.14","6.6","Action, Comedy, Harem, Mecha, Romance, School, Sci-Fi","","https://myanimelist.net/anime/9041/IS__Infinite_Stratos","FAILED_LOOKUP","6.6","","6.6"
